id;bank;product_name;amount_min;amount_currency;min_term;max_term;term_unit;rate_branch;rate_klik_bonus;rate_klik_total;url;last_updated;notes;source_file
5;Sparkasse;Depozit 151-180 days;500;EUR;151;180;days;0.9;0.0999999999999999;1.0;https://www.sparkasse.si/sl/prebivalstvo/ceniki-in-obrestne-mere/varcevanja;2026-02-10;scraped from Sparkasse GEM JSON tabela;sparkasse_depoziti.csv
5;Sparkasse;Depozit 181-210 days;500;EUR;181;210;days;1.1;0.0999999999999998;1.2;https://www.sparkasse.si/sl/prebivalstvo/ceniki-in-obrestne-mere/varcevanja;2026-02-10;scraped from Sparkasse GEM JSON tabela;sparkasse_depoziti.csv
5;Sparkasse;Depozit 211-240 days;500;EUR;211;240;days;1.1;0.0999999999999998;1.2;https://www.sparkasse.si/sl/prebivalstvo/ceniki-in-obrestne-mere/varcevanja;2026-02-10;scraped from Sparkasse GEM JSON tabela;sparkasse_depoziti.csv
5;Sparkasse;Depozit 241-270 days;500;EUR;241;270;days;1.1;0.0999999999999998;1.2;https://www.sparkasse.si/sl/prebivalstvo/ceniki-in-obrestne-mere/varcevanja;2026-02-10;scraped from Sparkasse GEM JSON tabela;sparkasse_depoziti.csv
5;Sparkasse;Depozit 271-300 days;500;EUR;271;300;days;1.1;0.0999999999999998;1.2;https://www.sparkasse.si/sl/prebivalstvo/ceniki-in-obrestne-mere/varcevanja;2026-02-10;scraped from Sparkasse GEM JSON tabela;sparkasse_depoziti.csv
5;Sparkasse;Depozit 301-330 days;500;EUR;301;330;days;1.1;0.0999999999999998;1.2;https://www.sparkasse.si/sl/prebivalstvo/ceniki-in-obrestne-mere/varcevanja;2026-02-10;scraped from Sparkasse GEM JSON tabela;sparkasse_depoziti.csv
5;Sparkasse;Depozit 331-365 days;500;EUR;331;365;days;1.1;0.0999999999999998;1.2;https://www.sparkasse.si/sl/prebivalstvo/ceniki-in-obrestne-mere/varcevanja;2026-02-10;scraped from Sparkasse GEM JSON tabela;sparkasse_depoziti.csv
5;Sparkasse;Depozit 12-14 months;500;EUR;12;14;months;1.45;0.1;1.55;https://www.sparkasse.si/sl/prebivalstvo/ceniki-in-obrestne-mere/varcevanja;2026-02-10;scraped from Sparkasse GEM JSON tabela;sparkasse_depoziti.csv
5;Sparkasse;Depozit 14-17 months;500;EUR;14;17;months;1.45;0.1;1.55;https://www.sparkasse.si/sl/prebivalstvo/ceniki-in-obrestne-mere/varcevanja;2026-02-10;scraped from Sparkasse GEM JSON tabela;sparkasse_depoziti.csv
5;Sparkasse;Depozit 17-20 months;500;EUR;17;20;months;1.45;0.1;1.55;https://www.sparkasse.si/sl/prebivalstvo/ceniki-in-obrestne-mere/varcevanja;2026-02-10;scraped from Sparkasse GEM JSON tabela;sparkasse_depoziti.csv
5;Sparkasse;Depozit 20-23 months;500;EUR;20;23;months;1.45;0.1;1.55;https://www.sparkasse.si/sl/prebivalstvo/ceniki-in-obrestne-mere/varcevanja;2026-02-10;scraped from Sparkasse GEM JSON tabela;sparkasse_depoziti.csv
5;Sparkasse;Depozit 23-35 months;500;EUR;23;35;months;1.7;0.1;1.8;https://www.sparkasse.si/sl/prebivalstvo/ceniki-in-obrestne-mere/varcevanja;2026-02-10;scraped from Sparkasse GEM JSON tabela;sparkasse_depoziti.csv
5;Sparkasse;Depozit 35-47 months;500;EUR;35;47;months;1.7;0.1;1.8;https://www.sparkasse.si/sl/prebivalstvo/ceniki-in-obrestne-mere/varcevanja;2026-02-10;scraped from Sparkasse GEM JSON tabela;sparkasse_depoziti.csv
5;Sparkasse;Depozit 47-59 months;500;EUR;47;59;months;1.7;0.1;1.8;https://www.sparkasse.si/sl/prebivalstvo/ceniki-in-obrestne-mere/varcevanja;2026-02-10;scraped from Sparkasse GEM JSON tabela;sparkasse_depoziti.csv
5;Sparkasse;Depozit 59- months;500;EUR;59;59;months;1.7;0.1;1.8;https://www.sparkasse.si/sl/prebivalstvo/ceniki-in-obrestne-mere/varcevanja;2026-02-10;scraped from Sparkasse GEM JSON tabela;sparkasse_depoziti.csv
3;UniCredit Banka Slovenija d.d.;Depozit 1M;1000;EUR;1;1;months;0.7;0.0;0.7;https://www.unicreditbank.si/si/prebivalstvo/nalozbe/klasicni-depozit.html;2026-02-10;scraped via Selenium;unicredit_depoziti.csv
3;UniCredit Banka Slovenija d.d.;Depozit 3M;1000;EUR;3;3;months;0.9;0.0;0.9;https://www.unicreditbank.si/si/prebivalstvo/nalozbe/klasicni-depozit.html;2026-02-10;scraped via Selenium;unicredit_depoziti.csv
3;UniCredit Banka Slovenija d.d.;Depozit 6M;1000;EUR;6;6;months;0.9;0.0;0.9;https://www.unicreditbank.si/si/prebivalstvo/nalozbe/klasicni-depozit.html;2026-02-10;scraped via Selenium;unicredit_depoziti.csv
3;UniCredit Banka Slovenija d.d.;Depozit 12M;1000;EUR;12;12;months;1.1;0.0;1.1;https://www.unicreditbank.si/si/prebivalstvo/nalozbe/klasicni-depozit.html;2026-02-10;scraped via Selenium;unicredit_depoziti.csv
3;UniCredit Banka Slovenija d.d.;Depozit 24M;1000;EUR;24;24;months;1.1;0.0;1.1;https://www.unicreditbank.si/si/prebivalstvo/nalozbe/klasicni-depozit.html;2026-02-10;scraped via Selenium;unicredit_depoziti.csv
3;UniCredit Banka Slovenija d.d.;Depozit 36M;1000;EUR;36;36;months;0.01;0.0;0.01;https://www.unicreditbank.si/si/prebivalstvo/nalozbe/klasicni-depozit.html;2026-02-10;scraped via Selenium;unicredit_depoziti.csv
